0001,Transit
002,Transit
0374,Transit
0375,Transit
1221,Street - Grissum
1222,Parking - 5th & Walnut
1228,Solid Waste - Grissum
1235,Solid Waste - Grissum
1243,Street - Grissum
1246,Parking - 5th & Walnut
1285,Sewer - WWTP
1296,Transit
1297,Transit
1298,Transit
1299,Transit
1301,Transit
1302,Transit
1303,Transit
1304,Transit
1305,Transit
1306,Transit
1312,Transit
1313,Transit
1314,Transit
1314,Transit
1317,Transit
1317,Transit
1318,Transit
1319,Transit
1320,Transit
1320,UNKNOWN
1321,Transit
1359,Transit
1364,Transit
1401,Street - Grissum
1410,Street - Grissum
1411,Street - Grissum
1415,Street - Grissum
1419,Solid Waste - Grissum
1420,Solid Waste - Grissum
1426,Parking - 5th & Walnut
1438,Transit
1440,Street - Grissum
1441,Street - Grissum
1534,Street - Grissum
1545,Street - Grissum
1546,Street - Grissum
1547,Street - Grissum
1548,Street - Grissum
1549,Street - Grissum
1550,Street - Grissum
1551,Street - Grissum
1583,Street - Grissum
1600,Street - Grissum
1607,Transit
1608,Street - Grissum
1609,Street - Grissum
1610,Solid Waste - Grissum
1615,Parking - 5th & Walnut
1617,Street - Grissum
1618,Street - Grissum
1626,Street - Grissum
1632,Street - Grissum
1633,Street - Grissum
1636,Street - Grissum
1640,Street - Grissum
1645,Solid Waste - Grissum
1650,Street - Grissum
1651,Solid Waste - Grissum
1652,Solid Waste - Grissum
1653,Solid Waste - Grissum
1654,Solid Waste - Grissum
1655,Street - Grissum
1656,Street Sweepers - Grissum
1657,Street Sweepers - Grissum
1658,Street Sweepers - Grissum
1661,Transit
1662,Transit
1663,Transit
1664,Transit
1665,Transit
1673,Solid Waste - Grissum
1674,Solid Waste - Grissum
1697,Street Sweepers - Grissum
1801,Transit
1802,Transit
1804,Transit
1806,Transit
1807,Transit
1808,Transit
1809,Transit
1810,Transit
1812,Solid Waste - Grissum
1814,Transit
1815,Solid Waste - Grissum
1817,Solid Waste - Grissum
1818,Transit
1823,Solid Waste - Grissum
1832,Solid Waste - Grissum
1838,Solid Waste - Grissum
1839,Solid Waste - Grissum
1842,Street - Grissum
1845,Solid Waste - Grissum
1848,Solid Waste - Grissum
1851,Transit
1852,Transit
1853,Solid Waste - Grissum
1864,Solid Waste - Grissum
1870,Transit
1878,Solid Waste - Grissum
1879,Solid Waste - Grissum
1885,Transit
1886,Transit
1887,Transit
1888,Transit
1889,Transit
1890,Transit
1891,Transit
1892,Transit
1893,Transit
1894,Transit
1895,Transit
1896,Transit
1897,Transit
1898,Survey - City Hall
1899,Solid Waste - Grissum
1900,Solid Waste - Grissum
1908,Sewer - WWTP
1909,Parking - 5th & Walnut
1917,Solid Waste - Grissum
1918,Solid Waste - Grissum
1921,Solid Waste - Grissum
1923,Solid Waste - Grissum
1924,Solid Waste - Grissum
1926,Solid Waste - Grissum
1930,Street - Grissum
1932,Street - Grissum
1937,Transit
1938,Transit
1939,Parking - 5th & Walnut
1940,Solid Waste - Grissum
1941,Solid Waste - Grissum
1942,Solid Waste - Grissum
1943,Solid Waste - Grissum
1944,Solid Waste - Grissum
1945,Solid Waste - Grissum
1946,Solid Waste - Grissum
1947,Solid Waste - Grissum
1948,Solid Waste - Grissum
1949,Solid Waste - Grissum
1955,Solid Waste - Grissum
1956,Solid Waste - Grissum
1957,Solid Waste - Grissum
1958,Solid Waste - Grissum
1959,Solid Waste - Grissum
1960,Solid Waste - Grissum
1961,Solid Waste - Grissum
1962,Solid Waste - Grissum
1963,Solid Waste - Grissum
1964,Solid Waste - Grissum
1965,Transit
1965,Transit
1966,Transit
1966,Transit
1968,Solid Waste - Grissum
1969,Transit
1970,Transit
1971,Transit
1972,Transit
1973,Transit
1974,Transit
1975,Street - Grissum
1977,Street - Grissum
1978,Street - Grissum
1979,Street - Grissum
1981,Street - Grissum
1982,Street - Grissum
1983,Street - Grissum
1984,Street - Grissum
1985,Street - Grissum
1986,Street - Grissum
1987,Street - Grissum
1988,Street - Grissum
1989,Street - Grissum
2,Transit
203,Water Distribution
204,Water Distribution
253,Electric Utility Services
254,Water Distribution
259,Water Distribution
266,Electric Distribution
288,Electric Distribution
340,Water Distribution
416,Water Distribution
417,Water Distribution
426,Electric Distribution
430,Water Distribution
444,Electric Distribution
445,Water Distribution
449,Water Distribution
454,Electric Distribution
464,Electric Distribution
497,Water Light Engineering
516,Electric Distribution
526,Electric Distribution
532,Electric Distribution
535,Electric Distribution
AUTO 8083983,UNKNOWN
AUTO 8083983 1,UNKNOWN
AUTO 8083983 2,UNKNOWN
AUTO 8083985,UNKNOWN
AUTO 8083985 1,UNKNOWN
AUTO 8083985 2,UNKNOWN
AUTO 8083985 3,UNKNOWN
AUTO 8083985 4,UNKNOWN
AUTO 8083991,UNKNOWN
AUTO 8083994,Transit
AUTO 8083994 1,UNKNOWN
AUTO 8083994 2,Transit
AUTO 8083994 3,UNKNOWN
AUTO 8125525,UNKNOWN
AUTO 8125940,UNKNOWN
AUTO 8133671,UNKNOWN
AUTO 8173250,UNKNOWN
AUTO 8173251,UNKNOWN
AUTO 8173258,Transit
AUTO 8173258 1,UNKNOWN
AUTO 8541656,Transit
AUTO 8541787,UNKNOWN
AUTO 8581970,UNKNOWN
AUTO 8796024,UNKNOWN
AUTO 8796026,UNKNOWN
AUTO 8796028,UNKNOWN
AUTO 8796029,UNKNOWN
AUTO 8796043,UNKNOWN
AUTO 8796135,UNKNOWN
AUTO 8796137,UNKNOWN
AUTO 8796138,UNKNOWN
AUTO 8796588,UNKNOWN
AUTO 8796590,UNKNOWN
AUTO 8796593,UNKNOWN
AUTO_8796594,UNKNOWN
AUTO 8796595,UNKNOWN
AUTO 8796596,UNKNOWN
Old 1319,Cummins
x1959,Solid Waste - Grissum
